Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident
20:55:00,Friday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Drunk driving
17:30:00,Tuesday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving to the left
16:59:00,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian
17:46:00,Tuesday,Over 51,Male,High school,Employee,1-2yr,Automobile,Owner,No defect, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
17:34:00,Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Driving carelessly
21:30:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
16:15:00,Wednesday,Unknown,Male,High school,Employee,2-5yr,Long lorry,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,5,2,Driver,Normal,Not a Pedestrian,Moving Backward
8:30:00,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
15:10:00,Saturday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
22:05:00,Friday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,5,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left
21:00:00,Sunday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
0:47:00,Sunday,18-30,Male,Elementary school,Employee,2-5yr,Taxi,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle
8:54:00,Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Reversing,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly
10:40:00,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
6:09:00,Wednesday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian
12:10:00,Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Other,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,2,Driver,Normal,Not a Pedestrian,Changing lane to the left
13:00:00,Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Other,Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
15:20:00,Thursday,31-50,Male,Elementary school,Employee,No Licence,Public (> 45 seats),Governmental,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward
21:45:00,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,3,1,Moving Backward,Passenger,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right
15:36:00,Tuesday,31-50,Male,Elementary school,Employee,1-2yr,Other,Owner,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,1,1,Stopping,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
17:21:00,Sunday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,18-30,3,Student,Normal,Not a Pedestrian,No distancing
17:23:00,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,No defect,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
20:30:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Other,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,2,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly
12:20:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
18:35:00,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Motorcycle,Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
7:50:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly
15:38:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the right
12:45:00,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking
10:23:00,Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Driver or rider,Male,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
11:05:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving to the left
16:55:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,2,Moving Backward,na,na,na,na,Employee,Normal,Not a Pedestrian,Changing lane to the right
14:38:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Pedestrian,Female,18-30,3,Other,Normal,Unknown or other,No distancing
15:03:00,Tuesday,Over 51,Male,Writing & reading,Owner,5-10yr,Lorry (11?40Q),Governmental,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Passenger,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
0:23:00,Saturday,31-50,Male,High school,Owner,5-10yr,Taxi,Owner,No defect, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Passenger,Female,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
20:30:00,Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,U-Turn,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
2:19:00,Thursday,Unknown,Female,Above high school,Employee,1-2yr,Automobile,Owner,No defect,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking
12:43:00,Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,Under 18,2,Driver,Normal,Not a Pedestrian,Moving Backward
15:20:00,Tuesday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle
16:40:00,Sunday,Unknown,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left
18:05:00,Thursday,31-50,Male,Elementary school,Owner,Above 10yr,Stationwagen,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
15:30:00,Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left
14:30:00,Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
13:55:00,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Overturning
18:23:00,Friday,18-30,Male,Above high school,Owner,5-10yr,Lorry (41?100Q),Owner,No defect,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the left
12:08:00,Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,No defect,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward
8:40:00,Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left
17:45:00,Wednesday,18-30,Male,Elementary school,Owner,5-10yr,Ridden horse,Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward
15:46:00,Saturday,31-50,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Pedestrian,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly
19:40:00,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward
8:10:00,Friday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Owner,No defect, Outside rural areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right
15:55:00,Tuesday,31-50,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Collision with animals,2,2,Going straight,na,na,na,na,Driver,Other,Not a Pedestrian,Changing lane to the right
9:18:00,Tuesday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian
15:23:00,Wednesday,Over 51,Male,High school,Employee,5-10yr,Automobile,Owner,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,Male,Over 51,2,Driver,Normal,Not a Pedestrian,Moving Backward
10:53:00,Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Motorcycle,Owner,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
13:57:00,Sunday,18-30,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Changing lane to the left
19:31:00,Wednesday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,No defect,Residential areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
2:42:00,Saturday,Unknown,Female,Junior high school,Employee,Below 1yr,Turbo,Owner,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs
10:22:00,Saturday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Owner,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Overturning
11:05:00,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing
13:00:00,Saturday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,5,Going straight,Driver or rider,Male,18-30,2,Driver,Normal,Not a Pedestrian,Changing lane to the right
13:20:00,Monday,Unknown,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,Driving carelessly
9:35:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Other,No defect,  Recreational areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Female,Over 51,3,Student,Normal,Not a Pedestrian,No distancing
18:30:00,Thursday,18-30,Unknown,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No distancing
20:15:00,Tuesday,18-30,Male,High school,Employee,Above 10yr,Pick up upto 10Q,Owner,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
15:40:00,Sunday,Unknown,Female,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No distancing
15:52:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Turnover,na,na,na,na,Other,Normal,Not a Pedestrian,Moving Backward
13:45:00,Sunday,Under 18,Male,High school,Owner,5-10yr,Automobile,Owner,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No distancing
18:24:00,Friday,Unknown,Male,Junior high school,Owner,1-2yr,Automobile,Owner,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian
6:20:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left
7:50:00,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right
12:40:00,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,Under 18,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly
17:30:00,Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,Over 51,2,Driver,Normal,Not a Pedestrian,Driving under the influence of drugs
21:51:00,Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,4,Moving Backward,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly
15:05:00,Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right
18:43:00,Wednesday,Over 51,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,3,1,Going straight,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward
12:51:00,Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
9:26:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Special vehicle,Owner,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the left
17:40:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,Over 51,1,Driver,Normal,Not a Pedestrian,Driving carelessly
18:15:00,Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Moving Backward
19:00:00,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,3,Driver,Normal,Not a Pedestrian,No distancing
20:51:00,Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly
15:47:00,Monday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right
